Loai,Gia(USD),So phong ngu,So phong tam,Dien tich(feet),Khu vuc,Duong,Vi do,Kinh do
For sale,0.975,1,2,900,New York County,Manhattan,40.7585686,-73.9669708
House for sale,0.499999,2,1,1744,New York,The Bronx,40.8549429,-73.7908303
Co-op for sale,1.649,2,2,2184,New York County,Manhattan,40.777244,-73.9868738
Co-op for sale,0.365,2,1,2184,Queens County,Jamaica,40.7083799,-73.8290102
Pending,0.748999,3,2,1620,New York,Staten Island,40.606691,-74.0724094
House for sale,0.635,3,2,2184,New York,Queens,40.6933533,-73.7503369
Co-op for sale,0.149,3,1,400,New York County,Manhattan,40.7276196,-73.9848906
House for sale,1.099,5,2,1760,New York,Queens,40.6481943,-73.8452374
Multi-family home for sale,1.529999,6,5,2400,New York,Queens,40.6780476,-73.8056181
House for sale,0.675,3,1,1404,New York,Staten Island,40.6333513,-74.1021333
House for sale,0.42,3,1,2184,New York,Queens,40.6784764,-73.8476859
Townhouse for sale,0.5599,3,2,980,New York,Staten Island,40.5132339,-74.1959753
House for sale,0.549,3,1,2184,New York,Queens,40.6776809,-73.8166457
Land for sale,0.999,3,2,950,New York,Queens,40.7644631,-73.8297531
Land for sale,0.289,3,2,2184,New York,The Bronx,40.842629,-73.8665973
Land for sale,0.79,3,2,2184,New York,Queens,40.7827104,-73.8457691
House for sale,2.295,7,4,3632,New York,New York,40.8180374,-73.9436858
House for sale,1.15,3,4,3000,New York,Staten Island,40.5343966,-74.1582874
Land for sale,0.35,3,2,2184,New York,Brooklyn,40.6753179,-73.9008593
Land for sale,0.45,3,2,2184,New York,The Bronx,40.89582,-73.9110766
Land for sale,2.5,3,2,2184,New York,Brooklyn,40.578639,-73.965449
Land for sale,0.35,3,2,2184,New York,Brooklyn,40.5844107,-73.9380366
Land for sale,0.15,3,2,2184,New York,Staten Island,40.6171535,-74.0890497
Land for sale,0.15,3,2,2184,New York,Staten Island,40.6170275,-74.0893192
Co-op for sale,0.235,3,2,1400,Queens County,Jamaica,40.7142299,-73.8152
Land for sale,0.199,3,2,2184,United States,Queens County,40.6511537,-73.8284146
Land for sale,2.0,3,2,2184,New York,The Bronx,40.8492324,-73.8914043
Land for sale,2.2,3,2,2184,New York,Queens,40.7185125,-73.834819
Land for sale,0.65,3,2,2184,New York,Queens,40.759972,-73.9173868
Land for sale,0.149,3,2,2184,New York,Staten Island,40.5742632,-74.086609
House for sale,0.215,4,2,2000,New York,Brooklyn,40.6694978,-73.8897534
Land for sale,0.799999,3,2,2184,New York,Brooklyn,40.6789582,-73.9203193
House for sale,0.299,5,2,2184,New York,Queens,40.593404,-73.775651
Land for sale,0.265,3,2,2184,New York,Brooklyn,40.6743408,-73.9056237
Land for sale,0.795,3,2,2184,New York,The Bronx,40.8457524,-73.9059682
Land for sale,1.245,3,2,2184,New York,The Bronx,40.902657,-73.901871
Land for sale,0.549,3,2,2184,New York,Brooklyn,40.699454,-73.924234
Co-op for sale,0.215,2,2,747,New York,The Bronx,40.8233271,-73.8110122
Land for sale,0.299,3,2,2184,New York,Brooklyn,40.6415965,-73.9105958
House for sale,0.275,2,1,1104,New York,The Bronx,40.8409818,-73.8292936
Multi-family home for sale,0.898,6,3,2100,New York,Staten Island,40.5586967,-74.1351001
Co-op for sale,0.275,2,1,900,Bronx County,Pelham Bay,40.8554764,-73.8287193
House for sale,0.599,4,2,1682,New York,Queens,40.6747343,-73.8239749
Condo for sale,0.189,1,1,730,Richmond County,Shore Acres,40.6109595,-74.060351
Multi-family home for sale,0.67899,3,3,1575,New York,Staten Island,40.6012318,-74.1300175
House for sale,0.8,3,2,1824,New York,Brooklyn,40.608799,-73.9128174
Condo for sale,0.549,3,2,1092,New York,Staten Island,40.6221107,-74.1499982
House for sale,0.849,3,2,2000,New York,Staten Island,40.5528489,-74.1699382
Pending,0.675,3,2,2184,New York,Brooklyn,40.6428139,-73.9451438
House for sale,0.13,3,2,664,New York,Staten Island,40.6330671,-74.1659477
House for sale,0.759999,4,2,2184,New York,Queens,40.7083753,-73.787158
Contingent,0.489,2,1,978,New York,Staten Island,40.546573,-74.213449
Multi-family home for sale,0.7998999999999999,5,2,1750,New York,Brooklyn,40.5956263,-73.933927
Co-op for sale,0.295,3,1,2184,Queens County,Howard Beach,40.6633466,-73.8542803
Co-op for sale,0.159,2,1,1010,New York,The Bronx,40.8762047,-73.8603621
House for sale,0.9995,3,2,1144,New York,Queens,40.784332,-73.8045713
Contingent,0.589,3,2,2310,New York,Staten Island,40.6426635,-74.1108512
Condo for sale,0.329,2,1,850,New York,Staten Island,40.6316141,-74.0858954
House for sale,0.799,3,2,1881,New York,Brooklyn,40.6402886,-73.9463493
House for sale,1.188,4,2,1580,New York,Brooklyn,40.6198659,-74.0087151
House for sale,0.729,3,2,1400,New York,The Bronx,40.846624,-73.8520911
Contingent,0.6149,3,2,1495,New York,Staten Island,40.6142391,-74.0884134
House for sale,0.599,4,2,1500,New York,The Bronx,40.8972473,-73.868898
Multi-family home for sale,0.95,6,2,2184,New York,Queens,40.7608129,-73.8669195
Land for sale,0.348,3,2,2184,New York,Staten Island,40.575138,-74.090531
Condo for sale,0.965,3,1,540,Kings County,Downtown Brooklyn,40.6903851,-73.9825343
Multi-family home for sale,1.095,4,4,2280,New York,Staten Island,40.5505648,-74.1599018
Condo for sale,2.295,2,2,1242,New York County,Manhattan,40.7241501,-74.0080814
Co-op for sale,0.0495,3,2,800,Bronx County,City Island,40.8432844,-73.7846028
House for sale,0.46,3,3,2256,New York,Brooklyn,40.641648,-73.9064568
Multi-family home for sale,0.825,12,6,2184,New York,Brooklyn,40.6739463,-73.885344
House for sale,1.23025,3,2,1590,New York,Queens,40.7120962,-73.8518076
House for sale,0.799999,3,2,1344,New York,Brooklyn,40.6099147,-73.9287144
Co-op for sale,0.2595,2,1,2184,Queens County,Kew Gardens,40.7121373,-73.8277084
Multi-family home for sale,1.3,15,6,4920,New York,Brooklyn,40.6411388,-73.9478417
Condo for sale,0.749,2,2,1300,Queens County,Bayside,40.7874921,-73.7858086
House for sale,0.265,2,1,660,New York,Staten Island,40.5849224,-74.0968781
House for sale,0.575,2,1,900,New York,Queens,40.5809134,-73.8302012
Multi-family home for sale,0.849,4,2,2180,New York,The Bronx,40.8528127,-73.8312235
House for sale,0.875,2,2,1214,New York,Queens,40.7565472,-73.7339718
House for sale,0.5999990000000001,3,2,1360,New York,Staten Island,40.613911,-74.133028
Multi-family home for sale,1.15,5,3,2184,New York,Queens,40.6542535,-73.8350556
Pending,1.188,4,2,3840,New York,Staten Island,40.5929709,-74.0937822
Foreclosure,0.5799,3,2,2640,New York,Staten Island,40.6422293,-74.0830445
Multi-family home for sale,1.295,4,3,2440,New York,Queens,40.78403,-73.80579
House for sale,0.25,3,1,1376,New York,Brooklyn,40.6212165,-73.9324344
Land for sale,1.395,3,2,2184,New York,The Bronx,40.9007702,-73.9110778
Townhouse for sale,1.648,3,4,1751,New York,Queens,40.7179519,-73.8427778
House for sale,1.675,4,5,2184,New York,Queens,40.7169141,-73.7831551
House for sale,0.95,3,2,1748,New York,Queens,40.7188985,-73.8587988
Co-op for sale,0.4495,1,1,2184,New York,New York,40.7278952,-73.9998294
Pending,0.184888,3,1,500,Queens County,Rego Park,40.7343409,-73.859014
Condo for sale,0.399,3,1,500,New York County,Manhattan,40.8374911,-73.9456039
Co-op for sale,0.209,1,1,1078,Bronx County,Fieldston,40.8915963,-73.8989828
Co-op for sale,0.28,3,2,1100,Bronx County,Westchester Square,40.8409736,-73.8456248
House for sale,0.625,3,2,2184,New York,Queens,40.6765364,-73.8351774
Co-op for sale,0.275,3,1,2184,New York County,Manhattan,40.7772579,-73.9476695
Multi-family home for sale,0.9248,4,3,2049,New York,Staten Island,40.5075446,-74.2461088
House for sale,1.3,6,4,2112,New York,Queens,40.7645123,-73.7595302
Multi-family home for sale,0.995,5,2,2288,New York,Staten Island,40.5501403,-74.1810379
Townhouse for sale,0.695,3,2,1793,New York,Staten Island,40.5763909,-74.1631382
Townhouse for sale,0.695,3,2,1793,New York,Staten Island,40.5763909,-74.1631382
Multi-family home for sale,0.998,5,3,1738,New York,Queens,40.6898026,-73.836542
Multi-family home for sale,0.899,7,3,1980,New York,Staten Island,40.6275175,-74.1233766
Multi-family home for sale,0.849,6,5,2184,New York,Queens,40.669692,-73.8003434
Co-op for sale,0.235,3,1,2184,Queens County,Rockaway Park,40.576751,-73.8398387
House for sale,0.39999900000000005,2,1,2184,New York,Queens,40.5853532,-73.8227113
House for sale,0.52,4,2,1701,New York,Brooklyn,40.6781418,-73.9250576
Condo for sale,0.485,3,2,2184,Kings County,Canarsie,40.6479766,-73.8936697
Co-op for sale,0.215,3,1,1100,Kings County,Midwood,40.622324,-73.9695073
Multi-family home for sale,1.288,6,5,2640,New York,Staten Island,40.5294592,-74.1903024
Co-op for sale,0.27,2,2,900,Queens County,Jackson Heights,40.7562792,-73.8758052
Co-op for sale,0.375,2,2,1200,Bronx County,Riverdale,40.8876529,-73.909649
Co-op for sale,0.565,1,1,2184,Kings County,Park Slope,40.6733809,-73.9732475
Multi-family home for sale,0.849,4,3,2184,New York,Brooklyn,40.6895034,-73.8684501
Co-op for sale,0.199,2,1,2184,Queens County,Jamaica,40.7092156,-73.7912209
House for sale,0.899,4,2,2184,New York,Queens,40.7646585,-73.780903
House for sale,0.699,3,2,2350,New York,Brooklyn,40.6095856,-73.9253159
House for sale,0.739,3,1,1148,New York,Queens,40.7386816,-73.7202723
Multi-family home for sale,0.425,3,2,1700,New York,The Bronx,40.8817944,-73.8617772
Co-op for sale,0.3,2,1,900,Richmond County,Mid Island,40.6479387,-74.0852701
House for sale,0.569,3,3,1780,New York,The Bronx,40.8147819,-73.8265252
House for sale,0.789,5,3,1273,New York,Queens,40.7084501,-73.7316272
Co-op for sale,0.35,2,1,825,Kings County,Williamsburg,40.711175,-73.957086
Multi-family home for sale,1.25,7,4,2184,New York,Brooklyn,40.6468782,-74.0136737
Townhouse for sale,1.499999,4,2,2264,New York,Brooklyn,40.6087059,-73.9290715
Multi-family home for sale,1.488,6,2,2184,New York,Brooklyn,40.624169,-74.010925
Land for sale,0.285,3,2,2184,New York,Queens,40.5607533,-73.9207539
Multi-family home for sale,0.699,3,3,2184,New York,Queens,40.6793322,-73.8130504
House for sale,0.9248999999999999,3,2,1404,New York,Brooklyn,40.6094348,-73.9777343
Foreclosure,0.56,4,2,2318,New York,The Bronx,40.8056419,-73.9229736
Multi-family home for sale,1.998,12,8,5100,New York,Brooklyn,40.5745179,-74.0068304
Pending,0.309,3,2,2184,Queens County,Howard Beach,40.6674344,-73.8479327
Multi-family home for sale,0.925,4,2,2160,New York,The Bronx,40.8616602,-73.8421016
House for sale,0.999,4,2,2184,New York,Queens,40.7365353,-73.7913358
Condo for sale,0.699,2,2,833,Queens County,Bayside,40.7873388,-73.7794685
Co-op for sale,0.2785,2,1,2184,Queens County,Rego Park,40.7267837,-73.8587799
Co-op for sale,0.738,3,2,2184,New York County,Manhattan,40.7595774,-73.964779
House for sale,0.9,4,4,2700,New York,Queens,40.6110299,-73.8195062
Co-op for sale,0.369,1,1,1470,Queens County,Rockaway Park,40.5756358,-73.8423199
House for sale,0.609,3,2,1620,New York,The Bronx,40.8165837,-73.8006996
Condo for sale,0.758,3,2,1278,New York,Queens,40.7928823,-73.8449212
Condo for sale,0.728,3,2,1890,New York,Staten Island,40.55065,-74.193355
House for sale,0.31489999999999996,3,3,1200,New York,Brooklyn,40.6744942,-73.8883757
House for sale,1.298,3,2,2046,New York,Queens,40.7239521,-73.8747783
Co-op for sale,1.095,4,4,2500,New York,Queens,40.7564761,-73.7212008
Condo for sale,0.43489999999999995,3,2,1286,Richmond County,Bulls Head,40.6085756,-74.1610387
Co-op for sale,0.375,2,2,1350,Bronx County,Hudson Hill,40.8938465,-73.9091368
Multi-family home for sale,1.375,14,8,6000,New York,The Bronx,40.8485623,-73.8574586
Co-op for sale,0.549,2,2,1200,Queens County,Forest Hills,40.724514,-73.8458441
House for sale,0.549,3,1,1400,New York,Staten Island,40.6368544,-74.1124571
House for sale,0.95,3,2,1520,New York,Queens,40.7157274,-73.8563447
Condo for sale,0.388,3,1,2184,New York County,Manhattan,40.7162732,-73.9849864
Multi-family home for sale,1.6,8,6,3472,New York,Queens,40.7189686,-73.8626041
Multi-family home for sale,1.399,6,2,2184,New York,Queens,40.721725,-73.8839773
House for sale,0.399,3,2,1350,New York,Queens,40.6798316,-73.82277
Pending,0.5298999999999999,1,1,630,Kings County,Downtown Brooklyn,40.6985714,-73.9881911
Pending,0.999,5,2,2184,New York,Queens,40.7227469,-73.8941061
Condo for sale,0.575,2,2,2184,Queens County,Elmhurst,40.7373082,-73.878333
Pending,0.6598999999999999,3,4,2184,Queens County,Bayside,40.7855084,-73.7762312
Townhouse for sale,2.2,6,3,2385,New York,Brooklyn,40.6621056,-73.9857576
Multi-family home for sale,0.898888,5,2,1550,New York,Queens,40.7282381,-73.7158123
House for sale,1.25,5,4,3427,New York,Staten Island,40.5395581,-74.2229079
Multi-family home for sale,1.188,3,2,2240,New York,Brooklyn,40.6085532,-73.998257
Multi-family home for sale,0.8699990000000001,5,3,2080,New York,Staten Island,40.6005525,-74.1314512
Co-op for sale,0.219,3,1,1050,Kings County,Gerritsen Beach,40.5988908,-73.9334675
House for sale,0.21,3,2,1840,New York,Brooklyn,40.664748,-73.884184
Multi-family home for sale,0.799,6,2,2184,New York,Brooklyn,40.6672674,-73.8686224
Co-op for sale,0.298,3,2,1100,Bronx County,East Bronx,40.8363242,-73.8654755
House for sale,1.248888,4,4,3500,New York,Staten Island,40.5646314,-74.1243252
Pending,1.075,2,2,955,New York County,Manhattan,40.8061576,-73.9550949
Pending,1.695,2,2,1572,Kings County,Crown Heights,40.6750114,-73.9554645
Condo for sale,0.55,2,2,2184,Queens County,Flushing,40.7135475,-73.895855
Co-op for sale,0.775,3,1,2184,New York County,Manhattan,40.7313539,-74.0050572
Foreclosure,0.2499,2,2,800,New York,Staten Island,40.6189484,-74.1071576
House for sale,0.65,4,1,1152,New York,Staten Island,40.5663057,-74.1529549
Co-op for sale,0.41,1,1,2184,Kings County,Fort Hamilton,40.6249201,-74.0404698
Multi-family home for sale,1.65,9,5,4320,New York,Brooklyn,40.5906586,-73.9818321
Pending,1.6,2,2,1100,New York County,Manhattan,40.7448219,-73.9944632
Co-op for sale,0.325,2,1,2184,Queens County,Flushing,40.7280894,-73.8494828
Contingent,0.275,2,1,900,Richmond County,New Dorp,40.5735927,-74.1200228
House for sale,0.7,3,2,1620,New York,The Bronx,40.8844018,-73.9028342
House for sale,0.93,3,2,2184,New York,Queens,40.7555333,-73.9016851
Condo for sale,0.379,1,2,704,Bronx County,City Island,40.845063,-73.783581
House for sale,1.15,3,2,1376,New York,Brooklyn,40.6149237,-73.9789281
Co-op for sale,0.5688880000000001,3,2,1100,New York,Queens,40.7322223,-73.8588845
House for sale,1.2,4,3,2052,New York,Staten Island,40.59194,-74.1087406
Foreclosure,0.8998999999999999,3,3,2550,New York,Staten Island,40.5499354,-74.1709931
Condo for sale,0.799999,3,2,1200,Queens County,Bayside,40.7859137,-73.7868778
Multi-family home for sale,0.3,3,4,2184,New York,Brooklyn,40.6601546,-73.9163716
Foreclosure,0.75,4,3,3098,New York,Staten Island,40.5758238,-74.1227343
House for sale,0.669999,4,2,1196,New York,Staten Island,40.5598117,-74.1585168
Contingent,0.575,2,1,1200,New York,Staten Island,40.6337278,-74.0936101
Co-op for sale,0.299,3,1,2184,Kings County,Sheepshead Bay,40.5987787,-73.9350489
House for sale,0.5488,3,4,1440,New York,Staten Island,40.6409456,-74.0859933
Co-op for sale,0.259,2,1,2184,Queens County,Kew Gardens,40.7041499,-73.83371
Co-op for sale,0.425,2,1,2184,Queens County,Forest Hills,40.7226099,-73.8495
House for sale,0.95,4,2,2200,New York,Brooklyn,40.6795412,-73.8904428
Co-op for sale,0.185,2,1,600,New York County,Manhattan,40.833945,-73.9432359
House for sale,1.688888,4,3,2364,New York,Queens,40.7773521,-73.7464296
Co-op for sale,0.259,2,1,2184,Queens County,Kew Gardens,40.7041499,-73.83371
House for sale,0.95,4,2,2200,New York,Brooklyn,40.6795412,-73.8904428
House for sale,1.688888,4,3,2364,New York,Queens,40.7773521,-73.7464296
Multi-family home for sale,0.689,6,3,2184,New York,The Bronx,40.8681745,-73.8897652
Co-op for sale,0.419,2,1,2184,Queens County,Flushing,40.7312799,-73.8192399
House for sale,1.199,4,2,2184,New York,Brooklyn,40.5783044,-73.9471644
House for sale,2.15,4,2,2184,New York,Brooklyn,40.5790771,-73.9425262
House for sale,0.899,3,4,2208,New York,Staten Island,40.5955552,-74.1677939
House for sale,0.675,3,2,2184,New York,Queens,40.7121557,-73.7452804
Co-op for sale,0.875,2,1,2184,New York County,Manhattan,40.748098,-73.9824791
House for sale,0.899,2,1,1130,New York County,Manhattan,40.7604194,-73.9968086
Co-op for sale,0.219,2,1,2184,Queens County,Woodhaven,40.6999899,-73.8539
Co-op for sale,0.12,2,1,600,Bronx County,West Bronx,40.8683656,-73.8832093
Condo for sale,0.47,2,1,2184,New York County,Manhattan,40.8640024,-73.9231918
Co-op for sale,0.229,2,1,950,Bronx County,East Bronx,40.8995193,-73.8623678
Pending,1.199,5,4,2184,New York,Queens,40.7090268,-73.8335998
Multi-family home for sale,1.498,9,8,2961,New York,Brooklyn,40.5784148,-74.0064631
Condo for sale,2.0,4,3,2000,New York County,Manhattan,40.7557937,-73.9642805
House for sale,0.55,3,2,2184,New York,Queens,40.6628113,-73.8453503
Pending,0.499,3,1,1176,New York,Staten Island,40.6265387,-74.1263932
Multi-family home for sale,0.8,6,3,2202,New York,The Bronx,40.8909806,-73.8528183
Co-op for sale,0.239,2,1,798,Queens County,Howard Beach,40.6649999,-73.84857
House for sale,0.674999,3,2,1440,New York,Staten Island,40.5394128,-74.2228391
House for sale,1.228,3,2,950,New York,Queens,40.7739766,-73.8070988
Condo for sale,0.88,4,4,2400,New York,Queens,40.7934553,-73.8471618
Co-op for sale,0.369888,2,2,2184,Queens County,Rego Park,40.726843,-73.85458
Co-op for sale,0.5,2,2,2184,New York County,Manhattan,40.7616461,-73.9701294
Multi-family home for sale,0.499,4,3,2184,New York,Queens,40.713904,-73.754948
Co-op for sale,0.17584899999999998,2,1,850,Bronx County,Spuyten Duyvil,40.879078,-73.9175196
Multi-family home for sale,0.499,3,2,1445,United States,Richmond County,40.6365321,-74.1218622
Multi-family home for sale,0.899975,6,3,1952,New York,The Bronx,40.8906352,-73.853094
House for sale,1.474,4,2,2050,New York,Queens,40.7114417,-73.8490778
House for sale,1.288,4,2,1700,New York,Queens,40.7248068,-73.7953763
Foreclosure,0.499,4,2,1428,New York,Brooklyn,40.6618245,-73.890638
House for sale,0.989,4,4,2400,New York,Staten Island,40.5657552,-74.1051158
House for sale,0.65,3,2,2184,New York,Staten Island,40.6071254,-74.0925892
Contingent,1.999999,4,4,4803,New York,Staten Island,40.5268622,-74.189752
Co-op for sale,1.235,3,2,2184,Bronx County,Spuyten Duyvil,40.8799728,-73.9221419
Co-op for sale,0.785,1,1,2184,New York County,Manhattan,40.7473555,-73.9813841
Co-op for sale,0.75,3,2,1750,New York County,Manhattan,40.8368955,-73.9465033
Multi-family home for sale,1.4,3,3,2184,New York,Queens,40.7770879,-73.9162687
Multi-family home for sale,0.865,6,3,2464,New York,The Bronx,40.8297242,-73.8263414
